Région,Consommation (MW),TMoy (°C),TMin (°C),TMax (°C)
Pays de la Loire,163201.0,8.85,4.4,13.3
Bretagne,138351.0,8.55,5.28,11.82
Nouvelle-Aquitaine,273157.0,9.58,4.77,14.39
Occitanie,277513.0,7.03,2.21,11.85
Auvergne-Rhône-Alpes,455383.0,4.69,-2.44,11.81
Provence-Alpes-Côte d'Azur,301938.0,5.66,-0.75,12.07
Île-de-France,472886.0,8.28,6.26,10.3
Centre-Val de Loire,126109.0,7.86,4.98,10.73
Bourgogne-Franche-Comté,135505.0,7.08,5.22,8.93
Normandie,183535.0,8.12,5.84,10.4
Hauts-de-France,324813.0,7.59,5.82,9.36
Grand Est,292330.0,6.39,4.5,8.28
Pays de la Loire,179787.0,8.85,5.6,12.1
Bretagne,151223.0,8.28,4.42,12.12
Nouvelle-Aquitaine,281794.0,8.92,5.44,12.4
Occitanie,242637.0,9.31,6.58,12.04
Auvergne-Rhône-Alpes,430546.0,6.66,4.85,8.46
Provence-Alpes-Côte d'Azur,250819.0,10.43,7.47,13.4
Île-de-France,517604.0,3.66,-0.24,7.56
Centre-Val de Loire,140876.0,3.12,-1.72,7.95
Bourgogne-Franche-Comté,148669.0,3.14,-0.78,7.07
Normandie,202476.0,4.86,0.4,9.32
Hauts-de-France,344945.0,3.76,-0.42,7.94
Grand Est,340902.0,2.74,-1.04,6.51
Pays de la Loire,206670.0,5.03,-0.35,10.4
Bretagne,167569.0,7.12,2.22,12.02
Nouvelle-Aquitaine,309577.0,6.68,1.72,11.64
Occitanie,267104.0,6.61,2.98,10.25
Auvergne-Rhône-Alpes,442066.0,3.45,-0.05,6.95
Provence-Alpes-Côte d'Azur,263757.0,9.22,5.38,13.07
Île-de-France,512053.0,5.04,2.44,7.64
Centre-Val de Loire,147244.0,5.12,2.07,8.17
Bourgogne-Franche-Comté,148094.0,1.92,-1.4,5.23
Normandie,201872.0,5.97,3.52,8.42
Hauts-de-France,335795.0,4.22,2.34,6.1
Grand Est,319737.0,1.01,-1.98,4.0
Pays de la Loire,194788.0,8.0,4.9,11.1
Bretagne,164780.0,9.35,6.8,11.9
Nouvelle-Aquitaine,310760.0,9.26,5.92,12.6
Occitanie,306834.0,5.78,2.37,9.18
Auvergne-Rhône-Alpes,480956.0,1.14,-2.57,4.85
Provence-Alpes-Côte d'Azur,297219.0,3.4,0.17,6.63
Île-de-France,500247.0,6.22,3.64,8.8
Centre-Val de Loire,133269.0,7.11,5.32,8.9
Bourgogne-Franche-Comté,142473.0,7.72,5.13,10.32
Normandie,194955.0,5.82,3.38,8.26
Hauts-de-France,339200.0,5.47,2.9,8.04
Grand Est,302801.0,6.23,4.16,8.3
Pays de la Loire,192614.0,7.62,4.95,10.3
Bretagne,161164.0,7.64,5.68,9.6
Nouvelle-Aquitaine,290283.0,9.7,7.29,12.11
Occitanie,236701.0,10.35,6.87,13.84
Auvergne-Rhône-Alpes,432187.0,8.38,5.6,11.15
Provence-Alpes-Côte d'Azur,260814.0,11.46,8.53,14.38
Île-de-France,524485.0,7.39,4.36,10.42
Centre-Val de Loire,139221.0,6.32,2.37,10.28
Bourgogne-Franche-Comté,165974.0,3.69,0.97,6.42
Normandie,192105.0,8.48,5.36,11.6
Hauts-de-France,351728.0,8.0,4.96,11.04
Grand Est,343138.0,4.12,0.54,7.71
Pays de la Loire,194031.0,10.25,6.9,13.6
Bretagne,158247.0,10.18,8.25,12.1
Nouvelle-Aquitaine,319587.0,8.77,5.84,11.69
Occitanie,300073.0,6.78,2.61,10.95
Auvergne-Rhône-Alpes,518328.0,2.92,-0.24,6.08
Provence-Alpes-Côte d'Azur,322384.0,3.89,-0.95,8.73
Île-de-France,479515.0,6.47,4.86,8.08
Centre-Val de Loire,133602.0,6.96,4.32,9.6
Bourgogne-Franche-Comté,146927.0,5.71,2.83,8.58
Normandie,201872.0,4.79,2.66,6.92
Hauts-de-France,364916.0,4.66,3.28,6.04
Grand Est,300256.0,5.41,3.3,7.52
Pays de la Loire,192976.0,7.95,5.3,10.6
Bretagne,161387.0,7.94,5.6,10.28
Nouvelle-Aquitaine,305286.0,7.69,5.13,10.25
Occitanie,274767.0,6.66,4.25,9.08
Auvergne-Rhône-Alpes,457738.0,5.25,1.5,9.0
Provence-Alpes-Côte d'Azur,269529.0,7.56,3.4,11.72
Île-de-France,529622.0,5.17,2.76,7.58
Centre-Val de Loire,154138.0,2.76,-0.65,6.17
Bourgogne-Franche-Comté,165325.0,-0.65,-4.25,2.95
Normandie,202058.0,6.04,3.62,8.46
Hauts-de-France,357141.0,5.84,3.04,8.64
Grand Est,337262.0,0.59,-2.38,3.55
Pays de la Loire,212131.0,5.75,2.25,9.25
Bretagne,171428.0,6.24,2.6,9.88
Nouvelle-Aquitaine,374196.0,1.8,-2.45,6.04
Occitanie,330856.0,2.02,-1.69,5.74
Auvergne-Rhône-Alpes,520575.0,-0.25,-2.87,2.38
Provence-Alpes-Côte d'Azur,318863.0,2.97,-1.67,7.6
Île-de-France,448220.0,5.41,2.18,8.64
Centre-Val de Loire,120693.0,5.81,2.67,8.95
Bourgogne-Franche-Comté,127593.0,4.95,2.68,7.22
Normandie,180703.0,5.64,2.6,8.68
Hauts-de-France,305041.0,6.12,4.06,8.18
Grand Est,271279.0,4.33,1.15,7.51
Pays de la Loire,171778.0,5.98,1.95,10.0
Bretagne,146840.0,7.15,3.55,10.75
Nouvelle-Aquitaine,287907.0,5.82,0.88,10.75
Occitanie,253309.0,6.44,2.16,10.72
Auvergne-Rhône-Alpes,401824.0,4.72,2.71,6.73
Provence-Alpes-Côte d'Azur,264872.0,8.08,3.23,12.92
Île-de-France,566671.0,1.48,-2.22,5.18
Centre-Val de Loire,164276.0,-0.1,-4.5,4.3
Bourgogne-Franche-Comté,172150.0,-2.69,-7.25,1.87
Normandie,214086.0,3.72,-0.36,7.8
Hauts-de-France,357481.0,3.5,-0.78,7.78
Grand Est,340205.0,-1.98,-6.8,2.85
Pays de la Loire,244150.0,1.8,-3.95,7.55
Bretagne,196281.0,4.48,0.4,8.55
Nouvelle-Aquitaine,389005.0,0.53,-3.5,4.56
Occitanie,364966.0,-1.12,-4.64,2.4
Auvergne-Rhône-Alpes,533301.0,-3.53,-6.69,-0.37
Provence-Alpes-Côte d'Azur,320284.0,2.44,-1.6,6.48
Île-de-France,508498.0,5.53,2.42,8.64
Centre-Val de Loire,139888.0,2.52,-1.38,6.42
Bourgogne-Franche-Comté,154649.0,2.57,-1.23,6.37
Normandie,201032.0,4.1,0.04,8.16
Hauts-de-France,346678.0,4.66,1.96,7.36
Grand Est,311782.0,3.59,0.99,6.2
Pays de la Loire,197606.0,5.3,0.35,10.25
Bretagne,167125.0,4.82,-0.15,9.8
Nouvelle-Aquitaine,310257.0,7.16,4.04,10.28
Occitanie,272411.0,7.07,3.68,10.46
Auvergne-Rhône-Alpes,482906.0,3.01,-1.18,7.21
Provence-Alpes-Côte d'Azur,282626.0,5.5,0.6,10.4
Île-de-France,534199.0,-0.23,-1.24,0.78
Centre-Val de Loire,142949.0,-0.03,-3.58,3.52
Bourgogne-Franche-Comté,142457.0,2.91,0.67,5.15
Normandie,206685.0,1.18,-0.28,2.64
Hauts-de-France,352311.0,-0.06,-1.26,1.14
Grand Est,305668.0,1.66,-0.01,3.34
Pays de la Loire,208072.0,0.3,-4.05,4.65
Bretagne,172885.0,2.64,0.3,4.98
Nouvelle-Aquitaine,322731.0,3.26,-1.19,7.71
Occitanie,256782.0,7.21,2.03,12.4
Auvergne-Rhône-Alpes,434137.0,5.38,1.13,9.64
Provence-Alpes-Côte d'Azur,274232.0,7.97,4.72,11.22
Île-de-France,507487.0,4.83,1.98,7.68
Centre-Val de Loire,132662.0,5.77,2.38,9.15
Bourgogne-Franche-Comté,144490.0,2.58,-0.25,5.42
Normandie,185541.0,5.31,2.9,7.72
Hauts-de-France,320197.0,5.12,2.64,7.6
Grand Est,290782.0,2.39,-0.39,5.18
Pays de la Loire,170225.0,7.85,5.6,10.1
Bretagne,144720.0,5.81,2.92,8.7
Nouvelle-Aquitaine,299474.0,7.97,4.19,11.75
Occitanie,286950.0,5.8,0.11,11.5
Auvergne-Rhône-Alpes,452211.0,1.94,-2.19,6.07
Provence-Alpes-Côte d'Azur,287744.0,6.03,1.03,11.03
Île-de-France,515254.0,6.02,2.9,9.14
Centre-Val de Loire,142525.0,5.68,1.93,9.42
Bourgogne-Franche-Comté,153655.0,5.2,2.95,7.45
Normandie,197259.0,6.11,3.56,8.66
Hauts-de-France,336693.0,5.5,2.58,8.42
Grand Est,307657.0,4.13,1.69,6.58
Pays de la Loire,198670.0,7.1,3.1,11.1
Bretagne,161811.0,8.01,4.35,11.68
Nouvelle-Aquitaine,305906.0,7.88,3.88,11.87
Occitanie,275414.0,7.81,4.48,11.14
Auvergne-Rhône-Alpes,476001.0,4.05,1.15,6.94
Provence-Alpes-Côte d'Azur,276430.0,8.23,4.8,11.67
Île-de-France,473601.0,7.14,4.88,9.4
Centre-Val de Loire,134095.0,8.43,6.12,10.75
Bourgogne-Franche-Comté,142152.0,7.92,5.78,10.07
Normandie,199928.0,5.82,3.26,8.38
Hauts-de-France,339135.0,6.15,3.92,8.38
Grand Est,300390.0,5.76,3.14,8.39
Pays de la Loire,188584.0,9.15,6.95,11.35
Bretagne,164198.0,7.68,5.2,10.15
Nouvelle-Aquitaine,278946.0,10.79,9.13,12.46
Occitanie,226754.0,12.15,10.13,14.18
Auvergne-Rhône-Alpes,420942.0,8.65,6.17,11.14
Provence-Alpes-Côte d'Azur,243691.0,13.24,10.52,15.97
Île-de-France,614611.0,-3.23,-6.52,0.06
Centre-Val de Loire,181835.0,-3.77,-7.1,-0.43
Bourgogne-Franche-Comté,169452.0,-2.78,-5.35,-0.22
Normandie,249442.0,-2.92,-5.86,0.02
Hauts-de-France,394751.0,-3.09,-6.42,0.24
Grand Est,353324.0,-5.86,-10.17,-1.54
Pays de la Loire,260214.0,-2.72,-5.05,-0.4
Bretagne,230859.0,-2.31,-4.1,-0.52
Nouvelle-Aquitaine,327258.0,5.75,1.71,9.79
Occitanie,248075.0,8.89,3.59,14.18
Auvergne-Rhône-Alpes,474638.0,1.4,-1.06,3.87
Provence-Alpes-Côte d'Azur,259393.0,8.37,4.42,12.32
Île-de-France,479005.0,7.24,3.34,11.14
Centre-Val de Loire,128253.0,7.48,4.55,10.42
Bourgogne-Franche-Comté,141506.0,6.03,0.73,11.33
Normandie,188201.0,6.37,2.34,10.4
Hauts-de-France,331581.0,5.29,0.22,10.36
Grand Est,304553.0,4.01,-1.41,9.43
Pays de la Loire,191974.0,8.05,4.8,11.3
Bretagne,160483.0,6.51,2.68,10.35
Nouvelle-Aquitaine,308490.0,7.22,3.82,10.61
Occitanie,260858.0,7.52,3.45,11.6
Auvergne-Rhône-Alpes,462883.0,5.37,0.41,10.33
Provence-Alpes-Côte d'Azur,276835.0,9.08,3.68,14.48
Île-de-France,392538.0,9.8,2.72,16.88
Centre-Val de Loire,99286.0,10.75,2.73,18.77
Bourgogne-Franche-Comté,112496.0,9.46,0.58,18.33
Normandie,149410.0,10.74,4.22,17.26
Hauts-de-France,275458.0,9.24,3.46,15.02
Grand Est,249429.0,7.59,-0.9,16.09
Pays de la Loire,136219.0,11.95,4.9,19.0
Bretagne,114391.0,12.2,7.88,16.52
Nouvelle-Aquitaine,218706.0,13.86,5.02,22.7
Occitanie,184429.0,14.01,5.17,22.85
Auvergne-Rhône-Alpes,356565.0,11.2,1.73,20.66
Provence-Alpes-Côte d'Azur,206210.0,13.69,7.12,20.27
Île-de-France,363217.0,14.13,10.12,18.14
Centre-Val de Loire,91748.0,13.16,8.67,17.65
Bourgogne-Franche-Comté,107284.0,12.83,9.23,16.43
Normandie,143586.0,12.13,8.06,16.2
Hauts-de-France,253783.0,12.94,8.66,17.22
Grand Est,230011.0,11.03,7.7,14.36
Pays de la Loire,138937.0,12.42,9.5,15.35
Bretagne,119090.0,10.19,7.05,13.32
Nouvelle-Aquitaine,217636.0,13.44,9.23,17.64
Occitanie,196421.0,13.76,8.35,19.18
Auvergne-Rhône-Alpes,349626.0,13.71,9.94,17.49
Provence-Alpes-Côte d'Azur,233222.0,12.62,10.42,14.83
Île-de-France,451990.0,6.59,2.92,10.26
Centre-Val de Loire,120727.0,7.39,3.62,11.17
Bourgogne-Franche-Comté,138721.0,5.83,2.55,9.12
Normandie,178672.0,7.06,3.6,10.52
Hauts-de-France,318755.0,6.67,3.76,9.58
Grand Est,285826.0,5.19,1.9,8.48
Pays de la Loire,172351.0,8.98,5.05,12.9
Bretagne,141780.0,8.74,4.75,12.72
Nouvelle-Aquitaine,265350.0,9.49,5.53,13.44
Occitanie,225660.0,10.02,5.79,14.25
Auvergne-Rhône-Alpes,411434.0,6.62,3.48,9.76
Provence-Alpes-Côte d'Azur,220282.0,11.14,6.93,15.35
Île-de-France,404705.0,14.58,12.26,16.9
Centre-Val de Loire,112392.0,13.88,11.43,16.33
Bourgogne-Franche-Comté,132460.0,12.99,9.42,16.57
Normandie,166833.0,13.16,11.44,14.88
Hauts-de-France,300119.0,12.47,11.28,13.66
Grand Est,271731.0,13.49,10.58,16.41
Pays de la Loire,168794.0,14.55,11.8,17.3
Bretagne,142077.0,12.76,11.28,14.25
Nouvelle-Aquitaine,265765.0,12.29,8.68,15.9
Occitanie,219242.0,13.09,6.88,19.3
Auvergne-Rhône-Alpes,396291.0,12.86,6.91,18.81
Provence-Alpes-Côte d'Azur,228387.0,14.04,7.92,20.17
Île-de-France,416067.0,10.91,6.6,15.22
Centre-Val de Loire,129546.0,10.6,7.42,13.78
Bourgogne-Franche-Comté,130451.0,10.96,8.05,13.87
Normandie,173126.0,9.87,6.58,13.16
Hauts-de-France,308867.0,9.47,6.3,12.64
Grand Est,283568.0,10.5,6.78,14.23
Pays de la Loire,172925.0,11.42,8.05,14.8
Bretagne,150615.0,10.3,7.6,13.0
Nouvelle-Aquitaine,265991.0,12.18,8.15,16.21
Occitanie,212538.0,12.18,5.97,18.39
Auvergne-Rhône-Alpes,394902.0,10.25,5.77,14.72
Provence-Alpes-Côte d'Azur,239602.0,10.47,4.62,16.32
Île-de-France,404622.0,12.21,9.48,14.94
Centre-Val de Loire,101326.0,11.96,8.55,15.37
Bourgogne-Franche-Comté,112119.0,12.82,8.43,17.2
Normandie,163248.0,10.57,8.28,12.86
Hauts-de-France,273136.0,11.87,8.72,15.02
Grand Est,245608.0,11.87,5.39,18.36
Pays de la Loire,157638.0,11.18,6.75,15.6
Bretagne,128670.0,10.4,5.18,15.62
Nouvelle-Aquitaine,239712.0,13.23,8.02,18.43
Occitanie,196273.0,14.45,9.65,19.25
Auvergne-Rhône-Alpes,366318.0,13.4,8.85,17.96
Provence-Alpes-Côte d'Azur,209901.0,13.87,8.48,19.25
Île-de-France,360016.0,10.49,4.76,16.22
Centre-Val de Loire,96216.0,9.72,3.1,16.33
Bourgogne-Franche-Comté,115201.0,10.39,4.3,16.48
Normandie,147001.0,9.37,3.68,15.06
Hauts-de-France,269350.0,9.3,3.8,14.8
Grand Est,246403.0,9.32,3.38,15.26
Pays de la Loire,142472.0,11.2,5.05,17.35
Bretagne,115468.0,9.6,3.4,15.8
Nouvelle-Aquitaine,213265.0,13.57,8.67,18.47
Occitanie,173576.0,15.55,11.3,19.79
Auvergne-Rhône-Alpes,337849.0,12.39,7.54,17.25
Provence-Alpes-Côte d'Azur,197315.0,15.3,9.83,20.77
Île-de-France,376618.0,12.52,6.44,18.6
Centre-Val de Loire,103258.0,11.79,5.92,17.67
Bourgogne-Franche-Comté,122065.0,11.24,3.53,18.95
Normandie,156203.0,10.59,4.84,16.34
Hauts-de-France,262096.0,11.67,5.72,17.62
Grand Est,260121.0,10.19,1.64,18.75
Pays de la Loire,162661.0,11.72,6.45,17.0
Bretagne,132530.0,10.39,5.08,15.7
Nouvelle-Aquitaine,251628.0,11.51,8.42,14.61
Occitanie,233754.0,10.22,7.88,12.56
Auvergne-Rhône-Alpes,386845.0,10.1,6.65,13.55
Provence-Alpes-Côte d'Azur,244294.0,10.49,7.8,13.18
Île-de-France,405648.0,8.39,3.14,13.64
Centre-Val de Loire,107087.0,10.05,4.87,15.23
Bourgogne-Franche-Comté,125785.0,10.79,6.53,15.05
Normandie,167431.0,7.17,2.72,11.62
Hauts-de-France,293931.0,6.41,1.5,11.32
Grand Est,262592.0,7.92,2.82,13.02
Pays de la Loire,162206.0,10.17,4.95,15.4
Bretagne,139977.0,8.49,3.85,13.12
Nouvelle-Aquitaine,243597.0,11.58,7.34,15.81
Occitanie,225571.0,11.65,8.4,14.89
Auvergne-Rhône-Alpes,381032.0,11.37,8.05,14.7
Provence-Alpes-Côte d'Azur,229348.0,11.91,7.12,16.7
Île-de-France,258706.0,18.35,11.32,25.38
Centre-Val de Loire,71308.0,16.65,7.43,25.87
Bourgogne-Franche-Comté,79716.0,15.24,5.4,25.08
Normandie,109852.0,17.61,10.28,24.94
Hauts-de-France,198815.0,16.38,9.52,23.24
Grand Est,164845.0,15.39,6.19,24.59
Pays de la Loire,102031.0,17.2,7.65,26.75
Bretagne,85696.0,15.99,8.0,23.98
Nouvelle-Aquitaine,169766.0,16.31,9.08,23.54
Occitanie,152392.0,14.66,7.93,21.39
Auvergne-Rhône-Alpes,255622.0,14.3,4.67,23.94
Provence-Alpes-Côte d'Azur,173550.0,13.8,6.17,21.43
Île-de-France,377612.0,5.97,4.06,7.88
Centre-Val de Loire,95081.0,6.72,5.15,8.28
Bourgogne-Franche-Comté,102123.0,9.13,6.2,12.07
Normandie,150206.0,6.22,4.22,8.22
Hauts-de-France,262650.0,6.02,3.6,8.44
Grand Est,217523.0,8.14,4.96,11.31
Pays de la Loire,136240.0,7.32,4.9,9.75
Bretagne,126914.0,6.08,2.58,9.57
Nouvelle-Aquitaine,210455.0,10.33,8.19,12.46
Occitanie,197531.0,10.25,7.94,12.57
Auvergne-Rhône-Alpes,309797.0,10.32,6.42,14.22
Provence-Alpes-Côte d'Azur,217625.0,11.48,7.33,15.63
Île-de-France,349943.0,14.77,12.3,17.24
Centre-Val de Loire,88908.0,12.9,8.97,16.83
Bourgogne-Franche-Comté,110223.0,14.64,11.8,17.48
Normandie,134660.0,14.66,10.54,18.78
Hauts-de-France,256328.0,17.21,13.88,20.54
Grand Est,236368.0,15.59,10.54,20.63
Pays de la Loire,133291.0,14.15,9.2,19.1
Bretagne,105907.0,14.26,10.45,18.08
Nouvelle-Aquitaine,204109.0,14.86,12.27,17.46
Occitanie,184565.0,13.76,11.05,16.46
Auvergne-Rhône-Alpes,337315.0,14.41,12.04,16.78
Provence-Alpes-Côte d'Azur,201700.0,15.84,13.58,18.1
Île-de-France,351340.0,16.24,12.36,20.12
Centre-Val de Loire,91866.0,13.0,8.92,17.08
Bourgogne-Franche-Comté,118019.0,13.48,10.22,16.75
Normandie,140993.0,15.07,11.04,19.1
Hauts-de-France,267411.0,14.99,7.68,22.3
Grand Est,243030.0,14.96,9.11,20.81
Pays de la Loire,141777.0,15.27,11.85,18.7
Bretagne,109849.0,14.02,11.7,16.35
Nouvelle-Aquitaine,212609.0,17.2,12.7,21.7
Occitanie,184201.0,16.38,12.37,20.38
Auvergne-Rhône-Alpes,359279.0,13.16,10.11,16.21
Provence-Alpes-Côte d'Azur,204058.0,15.51,11.2,19.82
Île-de-France,311414.0,13.76,6.02,21.5
Centre-Val de Loire,76823.0,13.08,3.62,22.53
Bourgogne-Franche-Comté,95465.0,13.89,4.88,22.9
Normandie,121905.0,11.84,3.64,20.04
Hauts-de-France,231173.0,11.97,4.4,19.54
Grand Est,213935.0,13.16,4.62,21.69
Pays de la Loire,120132.0,14.18,6.5,21.85
Bretagne,100631.0,10.79,5.33,16.25
Nouvelle-Aquitaine,195944.0,15.07,5.95,24.19
Occitanie,166956.0,15.64,7.62,23.66
Auvergne-Rhône-Alpes,299381.0,15.03,6.54,23.52
Provence-Alpes-Côte d'Azur,184942.0,17.34,12.35,22.33
Île-de-France,343073.0,13.15,9.3,17.0
Centre-Val de Loire,84834.0,13.2,10.0,16.4
Bourgogne-Franche-Comté,100820.0,12.58,9.45,15.72
Normandie,135707.0,11.77,8.78,14.76
Hauts-de-France,241729.0,12.65,9.36,15.94
Grand Est,220720.0,12.21,8.52,15.89
Pays de la Loire,121135.0,13.92,9.95,17.9
Bretagne,103898.0,11.94,7.68,16.2
Nouvelle-Aquitaine,195394.0,14.8,11.63,17.98
Occitanie,164952.0,15.74,11.95,19.52
Auvergne-Rhône-Alpes,303635.0,13.52,10.1,16.95
Provence-Alpes-Côte d'Azur,183727.0,17.0,11.68,22.32
Île-de-France,299847.0,9.95,6.04,13.86
Centre-Val de Loire,85488.0,9.15,6.38,11.92
Bourgogne-Franche-Comté,99811.0,10.25,5.95,14.55
Normandie,124606.0,9.69,7.28,12.1
Hauts-de-France,238355.0,9.45,6.6,12.3
Grand Est,206009.0,8.14,4.71,11.58
Pays de la Loire,124875.0,10.95,8.0,13.9
Bretagne,100820.0,10.55,8.45,12.65
Nouvelle-Aquitaine,190681.0,11.4,9.17,13.64
Occitanie,161528.0,14.26,12.21,16.31
Auvergne-Rhône-Alpes,284452.0,14.82,9.64,20.01
Provence-Alpes-Côte d'Azur,171255.0,14.82,12.53,17.12
Île-de-France,329725.0,12.19,8.54,15.84
Centre-Val de Loire,87980.0,11.36,6.4,16.32
Bourgogne-Franche-Comté,111021.0,12.8,9.53,16.07
Normandie,134597.0,11.26,5.58,16.94
Hauts-de-France,249275.0,12.56,7.54,17.58
Grand Est,219723.0,12.76,9.81,15.7
Pays de la Loire,131529.0,12.1,7.1,17.1
Bretagne,115919.0,11.21,7.48,14.95
Nouvelle-Aquitaine,205577.0,12.71,9.17,16.25
Occitanie,179191.0,12.58,8.95,16.22
Auvergne-Rhône-Alpes,335213.0,11.85,8.28,15.41
Provence-Alpes-Côte d'Azur,191825.0,15.27,11.88,18.65
Île-de-France,296552.0,18.35,15.56,21.14
Centre-Val de Loire,70978.0,17.11,14.48,19.73
Bourgogne-Franche-Comté,86743.0,18.02,14.65,21.38
Normandie,111382.0,17.57,14.2,20.94
Hauts-de-France,226388.0,18.57,14.86,22.28
Grand Est,197316.0,17.26,14.37,20.14
Pays de la Loire,101502.0,17.78,15.2,20.35
Bretagne,84812.0,16.76,14.45,19.08
Nouvelle-Aquitaine,171702.0,17.55,14.5,20.6
Occitanie,151452.0,18.97,15.17,22.77
Auvergne-Rhône-Alpes,276298.0,18.75,14.3,23.21
Provence-Alpes-Côte d'Azur,178787.0,21.16,15.87,26.45
Île-de-France,284845.0,22.25,14.9,29.6
Centre-Val de Loire,68115.0,21.39,12.72,30.07
Bourgogne-Franche-Comté,80044.0,21.85,13.22,30.48
Normandie,108364.0,18.85,13.0,24.7
Hauts-de-France,211531.0,19.74,13.9,25.58
Grand Est,182482.0,21.19,12.16,30.21
Pays de la Loire,97439.0,19.25,12.35,26.15
Bretagne,77066.0,17.9,14.15,21.65
Nouvelle-Aquitaine,171667.0,23.12,16.68,29.57
Occitanie,154525.0,24.47,16.88,32.06
Auvergne-Rhône-Alpes,270401.0,22.95,13.84,32.06
Provence-Alpes-Côte d'Azur,179079.0,23.38,16.57,30.18
Île-de-France,334237.0,19.43,17.36,21.5
Centre-Val de Loire,83650.0,20.04,17.0,23.08
Bourgogne-Franche-Comté,103447.0,20.91,17.07,24.75
Normandie,126650.0,17.37,15.06,19.68
Hauts-de-France,239771.0,18.1,14.62,21.58
Grand Est,223153.0,20.46,16.55,24.36
Pays de la Loire,128233.0,17.67,15.5,19.85
Bretagne,100874.0,16.79,14.78,18.8
Nouvelle-Aquitaine,194672.0,18.08,15.49,20.68
Occitanie,169455.0,18.84,15.82,21.85
Auvergne-Rhône-Alpes,326005.0,19.91,16.15,23.67
Provence-Alpes-Côte d'Azur,188892.0,20.98,17.22,24.75
Île-de-France,328357.0,13.35,7.96,18.74
Centre-Val de Loire,85701.0,11.32,6.48,16.15
Bourgogne-Franche-Comté,107604.0,12.84,10.03,15.65
Normandie,135393.0,11.97,6.4,17.54
Hauts-de-France,243323.0,12.93,6.88,18.98
Grand Est,224256.0,13.2,9.26,17.14
Pays de la Loire,131246.0,10.7,5.8,15.6
Bretagne,110318.0,11.4,7.95,14.85
Nouvelle-Aquitaine,207661.0,13.54,10.26,16.82
Occitanie,171064.0,13.91,11.01,16.81
Auvergne-Rhône-Alpes,327721.0,12.49,10.13,14.85
Provence-Alpes-Côte d'Azur,187558.0,16.62,14.2,19.05
Île-de-France,299963.0,17.33,11.32,23.34
Centre-Val de Loire,80895.0,15.11,10.33,19.88
Bourgogne-Franche-Comté,96482.0,16.86,10.85,22.87
Normandie,125209.0,15.05,9.78,20.32
Hauts-de-France,228249.0,15.97,10.36,21.58
Grand Est,223103.0,16.46,10.91,22.01
Pays de la Loire,129209.0,14.58,11.85,17.3
Bretagne,107991.0,12.88,10.52,15.23
Nouvelle-Aquitaine,204512.0,14.62,12.24,17.0
Occitanie,167497.0,16.57,11.99,21.15
Auvergne-Rhône-Alpes,307368.0,15.07,9.09,21.05
Provence-Alpes-Côte d'Azur,179952.0,17.17,12.07,22.27
Île-de-France,313330.0,20.93,15.0,26.86
Centre-Val de Loire,82085.0,21.32,14.67,27.97
Bourgogne-Franche-Comté,102515.0,20.92,13.7,28.13
Normandie,128077.0,18.21,12.3,24.12
Hauts-de-France,241116.0,16.55,12.08,21.02
Grand Est,220646.0,20.9,14.24,27.56
Pays de la Loire,123280.0,22.6,16.2,29.0
Bretagne,105566.0,18.48,13.12,23.83
Nouvelle-Aquitaine,191204.0,22.38,16.52,28.25
Occitanie,177733.0,23.41,17.13,29.7
Auvergne-Rhône-Alpes,315620.0,20.52,13.13,27.92
Provence-Alpes-Côte d'Azur,196692.0,22.89,16.97,28.82
Île-de-France,321376.0,19.75,17.1,22.4
Centre-Val de Loire,84199.0,19.52,16.13,22.9
Bourgogne-Franche-Comté,103817.0,21.57,18.15,24.98
Normandie,128854.0,18.17,14.84,21.5
Hauts-de-France,240244.0,18.26,15.28,21.24
Grand Est,222483.0,21.69,18.36,25.01
Pays de la Loire,126569.0,19.55,15.4,23.7
Bretagne,99340.0,17.88,14.68,21.08
Nouvelle-Aquitaine,212128.0,20.15,17.16,23.14
Occitanie,188081.0,22.4,18.6,26.19
Auvergne-Rhône-Alpes,332903.0,23.24,18.26,28.22
Provence-Alpes-Côte d'Azur,216987.0,26.52,20.52,32.52
Île-de-France,319440.0,19.28,14.3,24.26
Centre-Val de Loire,87372.0,19.57,14.17,24.97
Bourgogne-Franche-Comté,108578.0,19.57,14.4,24.73
Normandie,132290.0,17.9,13.04,22.76
Hauts-de-France,245067.0,17.37,13.1,21.64
Grand Est,231190.0,18.96,14.49,23.44
Pays de la Loire,132970.0,19.68,15.55,23.8
Bretagne,104230.0,17.45,14.12,20.78
Nouvelle-Aquitaine,209870.0,20.29,16.13,24.44
Occitanie,183218.0,22.37,17.5,27.24
Auvergne-Rhône-Alpes,335083.0,21.26,15.37,27.15
Provence-Alpes-Côte d'Azur,214724.0,23.29,18.33,28.25
Île-de-France,321136.0,18.1,13.42,22.78
Centre-Val de Loire,85635.0,17.03,10.78,23.28
Bourgogne-Franche-Comté,106359.0,16.97,10.47,23.48
Normandie,129868.0,17.41,12.5,22.32
Hauts-de-France,245837.0,18.11,14.08,22.14
Grand Est,231306.0,17.61,12.14,23.08
Pays de la Loire,133188.0,19.33,14.25,24.4
Bretagne,102470.0,18.11,12.58,23.65
Nouvelle-Aquitaine,218278.0,21.46,16.03,26.88
Occitanie,197107.0,23.41,17.51,29.31
Auvergne-Rhône-Alpes,337301.0,18.47,12.51,24.44
Provence-Alpes-Côte d'Azur,209954.0,24.28,19.1,29.47
